Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
313535,-0.1433,0.5123,0.8710,1.267,1.191,-0.366,29.861,7.937,107.814
313558,-0.1387,0.5079,0.8815,0.511,0.664,-0.359,29.989,7.720,107.831
313571,-0.1372,0.5049,0.8769,-0.802,0.489,-0.183,29.844,7.732,107.814
313584,-0.1389,0.5150,0.8840,0.427,0.473,-0.137,29.984,7.739,107.833
313597,-0.1382,0.4954,0.8808,-0.168,0.496,0.122,29.848,7.754,107.820
313610,-0.1326,0.4788,0.8708,0.947,1.107,-0.244,29.728,7.748,107.806
313623,-0.1494,0.5179,0.8779,-1.511,0.160,0.397,29.819,7.828,107.827
313636,-0.1445,0.5010,0.8774,1.092,0.611,-0.237,29.792,7.979,107.822
313649,-0.1423,0.5069,0.8745,0.069,0.435,0.069,29.927,8.000,107.844
313662,-0.1384,0.5001,0.8798,0.237,0.450,-0.107,29.818,7.930,107.831
313675,-0.1438,0.5062,0.8774,0.221,0.397,-0.092,29.921,8.028,107.846
313688,-0.1433,0.5091,0.8825,0.649,0.504,-0.137,30.060,7.988,107.866
313701,-0.1357,0.5023,0.8720,0.397,0.282,-0.023,30.013,7.858,107.860
313714,-0.1311,0.4996,0.8796,0.260,0.672,0.130,29.926,7.761,107.854
313727,-0.1389,0.5003,0.8718,0.656,0.611,-0.053,29.851,7.889,107.846
313740,-0.1428,0.5064,0.8764,0.000,0.420,0.137,29.956,7.981,107.865
313753,-0.1331,0.5054,0.8764,0.298,0.458,-0.168,29.965,7.839,107.866
313766,-0.1406,0.5040,0.8764,0.221,0.557,-0.084,29.877,7.959,107.856
313779,-0.1418,0.5037,0.8776,0.076,0.427,0.053,29.771,8.060,107.845
313792,-0.1438,0.4996,0.8745,0.176,0.702,0.031,29.710,8.202,107.841
313805,-0.1421,0.5123,0.8764,0.458,0.397,-0.076,29.846,8.156,107.861
313818,-0.1399,0.5059,0.8703,0.000,0.305,-0.023,29.960,8.074,107.879
313831,-0.1404,0.5008,0.8735,0.351,0.443,-0.160,29.869,7.981,107.866
313844,-0.1387,0.5023,0.8793,0.504,0.542,0.099,29.794,7.874,107.860
313857,-0.1448,0.5023,0.8793,-0.023,0.603,0.023,29.761,8.026,107.859
313870,-0.1433,0.5010,0.8725,0.344,0.763,-0.015,29.874,8.117,107.879
313883,-0.1416,0.5086,0.8769,0.137,0.603,-0.092,29.993,8.044,107.899
313896,-0.1436,0.4991,0.8784,0.328,0.511,0.092,29.864,8.064,107.884
313909,-0.1382,0.5025,0.8718,0.221,0.489,-0.031,29.921,7.931,107.895
313922,-0.1350,0.5025,0.8754,0.382,0.519,-0.046,29.897,7.795,107.894
313935,-0.1394,0.5045,0.8762,0.290,0.496,0.008,29.975,7.920,107.907
313948,-0.1421,0.5057,0.8786,0.412,0.489,-0.328,29.883,8.036,107.893
313961,-0.1404,0.5067,0.8801,0.198,0.580,0.092,29.926,7.898,107.903
313974,-0.1467,0.5030,0.8766,0.282,0.519,-0.153,29.898,8.051,107.900
313987,-0.1409,0.5027,0.8754,0.382,0.573,0.099,29.865,7.917,107.900
314000,-0.1384,0.5013,0.8732,0.084,0.267,-0.046,29.855,7.774,107.900
314013,-0.1372,0.5089,0.8757,0.397,0.366,0.092,29.994,7.752,107.921
314026,-0.1416,0.5098,0.8815,0.260,0.466,0.107,30.039,7.895,107.931
314039,-0.1338,0.5010,0.8776,0.374,0.603,-0.183,29.952,7.800,107.920
314052,-0.1421,0.4996,0.8884,0.634,0.420,0.130,29.828,7.834,107.906
314065,-0.1367,0.5020,0.8683,0.282,0.595,0.084,29.962,7.795,107.929
314078,-0.1396,0.5040,0.8823,0.473,0.275,-0.084,29.834,7.817,107.912
314091,-0.1392,0.5049,0.8754,0.405,0.290,-0.130,29.971,7.843,107.930
314104,-0.1387,0.5001,0.8784,0.153,0.206,0.000,29.840,7.832,107.913
314117,-0.1335,0.5005,0.8774,0.244,0.458,-0.084,29.785,7.708,107.907
314130,-0.1362,0.5042,0.8803,0.588,0.740,-0.031,29.835,7.573,107.917
314143,-0.1357,0.5081,0.8762,0.466,0.443,0.023,29.972,7.607,107.938
314156,-0.1399,0.5064,0.8745,0.267,0.405,-0.115,30.027,7.746,107.946
314169,-0.1465,0.5071,0.8762,0.389,0.397,0.008,30.043,7.898,107.950
314182,-0.1387,0.5045,0.8723,0.084,0.504,-0.221,30.043,7.757,107.951
314195,-0.1348,0.5027,0.8769,0.290,0.618,-0.168,29.938,7.683,107.938
314208,-0.1392,0.5008,0.8757,0.427,0.397,0.031,29.842,7.789,107.927
314221,-0.1433,0.4991,0.8771,0.389,0.473,0.023,29.764,7.915,107.919
314234,-0.1404,0.5069,0.8757,0.290,0.313,0.053,29.903,7.911,107.940
314247,-0.1379,0.5020,0.8781,0.557,0.504,-0.061,29.813,7.821,107.930
314260,-0.1411,0.5098,0.8747,0.321,0.374,-0.137,29.946,7.861,107.948
314273,-0.1384,0.5054,0.8752,0.260,0.733,-0.084,30.052,7.767,107.966
314286,-0.1426,0.5013,0.8669,0.260,0.550,-0.061,30.050,7.921,107.968
314299,-0.1401,0.5037,0.8806,0.229,0.267,0.031,29.922,7.898,107.952
314312,-0.1379,0.5035,0.8769,0.359,0.595,-0.198,29.868,7.776,107.946
314325,-0.1467,0.5054,0.8784,0.237,0.595,-0.084,29.887,7.930,107.951
314338,-0.1428,0.5030,0.8713,0.198,0.733,0.115,29.973,8.049,107.968
314351,-0.1423,0.5103,0.8735,0.130,0.534,0.153,30.110,8.037,107.992
314364,-0.1360,0.4954,0.8713,0.069,0.649,-0.229,29.997,7.974,107.978
314377,-0.1387,0.5074,0.8740,0.153,0.458,-0.145,30.095,7.870,107.993
314390,-0.1411,0.5042,0.8779,0.321,0.443,0.008,29.968,7.913,107.978
314403,-0.1436,0.5047,0.8705,0.038,0.695,-0.176,30.046,8.039,107.991
314416,-0.1404,0.4998,0.8757,0.267,0.573,-0.031,29.923,8.003,107.977
314429,-0.1360,0.5064,0.8776,0.214,0.763,-0.046,29.952,7.865,107.985
314442,-0.1416,0.5035,0.8769,0.321,0.695,-0.237,29.863,7.986,107.974
314455,-0.1399,0.5086,0.8737,0.153,0.443,-0.122,29.997,7.950,107.993
314468,-0.1360,0.5064,0.8815,0.389,0.634,0.061,29.953,7.822,107.991
314481,-0.1394,0.5054,0.8793,0.374,0.573,-0.130,29.824,7.838,107.975
314494,-0.1375,0.5001,0.8674,0.466,0.740,-0.084,29.964,7.827,107.998
314507,-0.1382,0.5003,0.8791,0.237,0.542,-0.046,29.836,7.814,107.983
314520,-0.1409,0.5015,0.8769,0.260,0.504,-0.099,29.768,7.950,107.975
314533,-0.1404,0.5096,0.8781,0.115,0.656,-0.008,29.903,7.928,107.998
314546,-0.1401,0.5132,0.8752,0.031,0.588,-0.038,30.039,7.918,108.019
314559,-0.1382,0.5120,0.8742,0.176,0.542,-0.076,30.167,7.865,108.039
314572,-0.1428,0.5054,0.8681,0.351,0.382,-0.069,30.199,8.013,108.045
314585,-0.1404,0.5035,0.8723,0.359,0.710,0.084,30.079,7.973,108.033
314598,-0.1379,0.5054,0.8735,0.389,0.679,0.092,30.067,7.834,108.036
314611,-0.1384,0.5071,0.8696,0.168,0.336,0.031,30.204,7.835,108.057
314624,-0.1360,0.5054,0.8718,0.336,0.534,0.000,30.131,7.724,108.050
314637,-0.1404,0.5020,0.8786,0.084,0.534,-0.176,30.006,7.788,108.034
314650,-0.1404,0.5052,0.8793,0.366,0.527,0.061,29.896,7.878,108.023
314663,-0.1411,0.5069,0.8732,0.321,0.435,-0.107,30.027,7.925,108.042
314676,-0.1399,0.5076,0.8798,0.260,0.458,0.031,29.965,7.805,108.036
314689,-0.1382,0.5015,0.8776,0.305,0.649,0.023,29.836,7.799,108.023
314702,-0.1367,0.5040,0.8723,0.107,0.641,-0.092,29.967,7.757,108.043
314715,-0.1453,0.4991,0.8749,0.443,0.641,-0.023,29.898,7.892,108.037
314728,-0.1404,0.5032,0.8725,0.214,0.489,-0.008,30.019,7.963,108.056
314741,-0.1426,0.5052,0.8781,0.374,0.244,0.191,29.898,8.022,108.043
314754,-0.1387,0.5027,0.8774,0.397,0.435,-0.183,29.850,7.895,108.036
314767,-0.1350,0.5045,0.8720,0.313,0.542,-0.183,29.943,7.786,108.050
314780,-0.1360,0.5010,0.8757,0.275,0.603,-0.023,29.834,7.718,108.038
314793,-0.1401,0.5040,0.8737,0.420,0.466,-0.038,29.923,7.836,108.052
314806,-0.1392,0.5027,0.8688,0.412,0.511,-0.008,30.052,7.894,108.072
314819,-0.1360,0.5032,0.8806,0.214,0.664,0.015,29.951,7.814,108.062
314832,-0.1384,0.5064,0.8781,0.382,0.405,-0.198,30.028,7.690,108.072
314845,-0.1375,0.5106,0.8764,0.137,0.359,0.122,30.162,7.712,108.094
314858,-0.1409,0.5101,0.8820,0.229,0.511,0.023,30.077,7.834,108.085
314871,-0.1416,0.5052,0.8745,0.076,0.634,-0.115,30.022,7.979,108.080
314884,-0.1418,0.5008,0.8718,0.595,0.710,-0.183,29.900,8.034,108.065
314897,-0.1421,0.5023,0.8801,0.153,0.389,-0.176,29.773,8.004,108.047
314910,-0.1404,0.5035,0.8740,0.183,0.588,-0.069,29.902,7.952,108.068
314923,-0.1428,0.5020,0.8749,0.046,0.405,-0.023,29.834,8.088,108.061
314936,-0.1423,0.5054,0.8735,0.282,0.427,-0.084,29.970,8.058,108.081
314949,-0.1458,0.5054,0.8788,0.244,0.435,-0.023,29.903,8.193,108.074
314962,-0.1394,0.5059,0.8830,0.092,0.405,-0.023,29.872,8.056,108.072
314975,-0.1362,0.5030,0.8788,0.061,0.756,-0.206,29.841,7.924,108.070
314988,-0.1416,0.5047,0.8730,0.519,0.550,-0.115,29.974,7.977,108.090
315001,-0.1411,0.4942,0.8837,0.160,0.588,0.099,29.843,7.975,108.076
315014,-0.1394,0.5108,0.8749,0.420,0.603,-0.153,29.980,7.941,108.096
315027,-0.1404,0.5057,0.8747,0.053,0.710,0.069,30.103,7.878,108.118
315040,-0.1438,0.5052,0.8813,0.298,0.321,-0.221,29.988,7.960,108.102
315053,-0.1392,0.5032,0.8691,0.282,0.550,-0.122,30.102,7.875,108.119
315066,-0.1438,0.5096,0.8740,0.321,0.359,-0.153,30.184,7.996,108.130
315079,-0.1365,0.5018,0.8784,0.344,0.664,-0.015,30.078,7.926,108.119
315092,-0.1399,0.5035,0.8764,0.221,0.504,-0.252,29.951,7.904,108.102
315105,-0.1375,0.4957,0.8820,0.206,0.527,-0.046,29.825,7.875,108.087
315118,-0.1414,0.5037,0.8823,0.244,0.710,-0.038,29.702,7.941,108.074
315131,-0.1450,0.4964,0.8730,0.145,0.405,-0.038,29.663,8.090,108.070
315144,-0.1443,0.5035,0.8723,0.450,0.466,0.168,29.801,8.119,108.094
315157,-0.1379,0.5023,0.8776,0.198,0.305,-0.214,29.796,7.977,108.092
315170,-0.1433,0.5052,0.8808,0.397,0.504,0.008,29.883,8.096,108.107
315183,-0.1399,0.5045,0.8757,0.420,0.588,-0.198,29.930,7.960,108.114
315196,-0.1406,0.5013,0.8779,0.359,0.321,0.008,29.804,7.937,108.098
315209,-0.1384,0.5047,0.8737,0.252,0.695,-0.130,29.928,7.873,108.118
315222,-0.1470,0.5015,0.8771,0.313,0.664,0.076,29.876,8.018,108.115
315235,-0.1355,0.5001,0.8764,0.282,0.443,-0.038,29.821,7.893,108.110
315248,-0.1389,0.5096,0.8771,0.458,0.832,-0.176,29.959,7.866,108.131
315261,-0.1416,0.5059,0.8681,0.229,0.427,0.053,30.080,7.937,108.151
315274,-0.1404,0.5003,0.8752,0.038,0.672,-0.145,29.946,7.942,108.135
315287,-0.1416,0.4962,0.8762,0.527,0.809,0.069,29.820,7.971,108.122
315300,-0.1367,0.5045,0.8791,-0.076,0.481,0.092,29.834,7.828,108.129
315313,-0.1379,0.5027,0.8832,0.145,0.527,-0.107,29.718,7.771,108.115
315326,-0.1379,0.5020,0.8769,0.214,0.626,0.008,29.855,7.783,108.137
315339,-0.1333,0.5030,0.8710,0.328,0.275,0.069,29.939,7.662,108.150
315352,-0.1365,0.5018,0.8779,0.229,0.473,0.053,29.808,7.685,108.136
315365,-0.1367,0.5067,0.8762,0.267,0.389,-0.183,29.946,7.695,108.154
315378,-0.1436,0.5025,0.8806,0.122,0.519,-0.099,29.868,7.826,108.146
315391,-0.1375,0.5045,0.8808,0.534,0.511,-0.046,29.804,7.711,108.139
315404,-0.1350,0.5059,0.8754,0.160,0.435,0.214,29.932,7.654,108.161
315417,-0.1438,0.5118,0.8776,0.107,0.557,-0.092,30.020,7.770,108.175
315430,-0.1365,0.5062,0.8757,0.405,0.595,0.084,30.042,7.629,108.182
315443,-0.1431,0.5040,0.8730,0.130,0.366,0.046,30.029,7.780,108.183
315456,-0.1421,0.5010,0.8801,0.534,0.435,0.176,29.914,7.852,108.171
315469,-0.1414,0.4998,0.8715,0.053,0.298,0.092,29.848,7.987,108.165
315482,-0.1389,0.4988,0.8730,0.405,0.427,-0.008,29.764,7.887,108.155
315495,-0.1360,0.5025,0.8757,0.198,0.481,0.160,29.822,7.753,108.168
315508,-0.1443,0.5040,0.8781,0.359,0.573,0.031,29.840,7.906,108.174
315521,-0.1445,0.5013,0.8745,0.298,0.618,-0.130,29.835,8.062,108.175
315534,-0.1360,0.4996,0.8730,0.267,0.290,0.145,29.817,7.919,108.175
315547,-0.1428,0.5023,0.8779,0.252,0.672,-0.008,29.771,8.067,108.173
315560,-0.1443,0.4974,0.8788,0.443,0.427,-0.252,29.644,8.106,108.154
315573,-0.1389,0.4966,0.8813,0.374,0.695,-0.061,29.560,8.008,108.145
315586,-0.1414,0.5040,0.8737,0.221,0.435,-0.053,29.699,8.004,108.166
315599,-0.1421,0.5025,0.8771,0.336,0.443,0.038,29.838,8.005,108.188
315612,-0.1316,0.5067,0.8781,0.122,0.550,0.008,29.875,7.866,108.197
315625,-0.1428,0.4991,0.8705,0.458,0.496,0.023,29.851,8.018,108.196
315638,-0.1411,0.4981,0.8796,0.145,0.565,-0.038,29.722,7.996,108.181
315651,-0.1394,0.5059,0.8845,0.229,0.595,-0.137,29.759,7.859,108.188
315664,-0.1399,0.5081,0.8754,0.305,0.588,-0.099,29.898,7.870,108.209
315677,-0.1472,0.5069,0.8757,0.221,0.626,0.015,29.956,8.009,108.221
315690,-0.1306,0.5010,0.8730,0.282,0.412,-0.069,29.935,7.870,108.220
315703,-0.1416,0.5064,0.8774,0.229,0.420,-0.168,30.015,7.993,108.231
315716,-0.1387,0.4991,0.8813,0.260,0.489,-0.008,29.895,7.949,108.217
315729,-0.1431,0.5049,0.8703,0.168,0.489,0.008,30.011,8.026,108.236
315742,-0.1350,0.5025,0.8808,0.366,0.641,-0.046,29.937,7.919,108.229
315755,-0.1416,0.5005,0.8769,0.160,0.427,-0.015,29.808,7.963,108.213
315768,-0.1455,0.5071,0.8781,0.611,0.656,0.061,29.913,8.068,108.232
315781,-0.1360,0.5035,0.8713,-0.046,0.511,-0.099,29.955,7.931,108.240
315794,-0.1362,0.4986,0.8737,0.565,0.481,-0.076,29.861,7.845,108.228
315807,-0.1436,0.5018,0.8847,0.298,0.466,-0.084,29.745,7.926,108.214
315820,-0.1362,0.5005,0.8810,0.725,0.603,-0.092,29.689,7.809,108.207
315833,-0.1406,0.5062,0.8818,0.168,0.534,-0.130,29.816,7.865,108.226
315846,-0.1353,0.5108,0.8737,0.435,0.542,0.137,29.947,7.806,108.249
315859,-0.1418,0.5030,0.8737,0.130,0.504,-0.168,29.935,7.961,108.248
315872,-0.1443,0.5118,0.8766,0.298,0.595,-0.023,30.065,8.015,108.269
315885,-0.1438,0.4991,0.8862,0.389,0.458,0.053,29.936,8.027,108.254
315898,-0.1394,0.5035,0.8830,0.183,0.511,0.000,29.837,7.942,108.243
315911,-0.1433,0.5018,0.8718,0.458,0.618,0.084,29.909,8.074,108.257
315924,-0.1455,0.5071,0.8788,0.397,0.649,-0.023,30.007,8.183,108.274
315937,-0.1362,0.5089,0.8764,0.267,0.466,0.130,30.047,8.043,108.284
315950,-0.1445,0.5049,0.8818,0.076,0.550,0.000,29.915,8.077,108.269
315963,-0.1360,0.4988,0.8796,0.511,0.672,-0.038,29.833,7.980,108.260
315976,-0.1379,0.5081,0.8801,0.573,0.496,0.031,29.923,7.863,108.275
315989,-0.1387,0.5013,0.8769,0.031,0.519,0.153,29.795,7.833,108.263
316002,-0.1353,0.5030,0.8801,0.099,0.466,-0.008,29.769,7.695,108.262
316015,-0.1384,0.5084,0.8740,-1.435,0.038,0.427,29.881,7.724,108.284
316028,-0.1409,0.4905,0.8725,1.260,0.786,-0.198,29.774,7.801,108.271
316041,-0.1389,0.5147,0.8771,-0.489,0.344,0.122,29.903,7.799,108.293
316054,-0.1396,0.5035,0.8757,-0.084,0.168,0.092,29.891,7.948,108.293
316067,-0.1423,0.5054,0.8793,0.405,0.473,0.069,29.893,8.101,108.297
316080,-0.1411,0.5091,0.8828,0.069,0.679,-0.092,29.946,7.970,108.307
316093,-0.1416,0.5059,0.8693,0.511,0.687,-0.099,30.085,8.001,108.329
316106,-0.1448,0.4991,0.8793,0.229,0.496,0.191,29.957,8.044,108.316
316119,-0.1377,0.5030,0.8784,0.038,0.489,-0.061,29.891,7.925,108.309
316132,-0.1382,0.5045,0.8715,0.527,0.740,-0.183,30.017,7.858,108.328
316145,-0.1416,0.4974,0.8681,0.214,0.496,0.046,29.916,7.963,108.318
316158,-0.1384,0.4976,0.8832,0.176,0.305,0.122,29.793,7.920,108.304
316171,-0.1382,0.5067,0.8766,0.153,0.595,-0.076,29.914,7.851,108.323
316184,-0.1406,0.5015,0.8749,0.321,0.443,-0.031,29.814,7.955,108.311
316197,-0.1440,0.5076,0.8720,0.252,0.481,-0.069,29.940,8.014,108.331
316210,-0.1401,0.4979,0.8737,0.191,0.710,-0.130,29.815,7.984,108.316
316223,-0.1372,0.5042,0.8779,0.229,0.580,0.168,29.850,7.844,108.326
316236,-0.1387,0.5042,0.8691,0.267,0.504,0.008,29.988,7.857,108.347
316249,-0.1428,0.5067,0.8815,0.260,0.534,0.069,29.906,7.981,108.340
316262,-0.1387,0.5027,0.8764,0.099,0.611,-0.092,29.855,7.856,108.336
316275,-0.1377,0.5062,0.8764,0.221,0.573,0.107,29.975,7.780,108.356
316288,-0.1404,0.5030,0.8823,0.313,0.458,-0.092,29.848,7.827,108.341
316301,-0.1399,0.4981,0.8705,0.389,0.664,0.053,29.776,7.959,108.335
316314,-0.1384,0.5071,0.8749,0.366,0.267,-0.176,29.905,7.899,108.352
316327,-0.1433,0.5005,0.8771,0.344,0.405,-0.008,29.804,8.001,108.340
316340,-0.1418,0.4952,0.8747,0.153,0.496,-0.038,29.671,8.022,108.324
316353,-0.1426,0.4959,0.8727,0.466,0.336,0.092,29.573,8.125,108.312
316366,-0.1384,0.5062,0.8793,0.359,0.290,0.122,29.681,8.024,108.330
316379,-0.1423,0.5052,0.8806,0.290,0.374,-0.046,29.817,7.994,108.350
316392,-0.1399,0.5062,0.8806,0.145,0.588,-0.153,29.885,7.868,108.361
316405,-0.1387,0.5003,0.8808,0.351,0.435,0.252,29.760,7.839,108.349
316418,-0.1372,0.5076,0.8779,0.244,0.382,-0.092,29.890,7.783,108.368
316431,-0.1462,0.5069,0.8718,0.282,0.382,-0.038,29.967,7.908,108.380
316444,-0.1423,0.4996,0.8788,0.260,0.489,0.076,29.839,7.953,108.366
316457,-0.1362,0.5008,0.8798,0.313,0.718,-0.053,29.767,7.844,108.359
316470,-0.1387,0.5054,0.8701,0.305,0.450,-0.122,29.905,7.851,108.379
316483,-0.1443,0.4998,0.8779,0.290,0.588,0.031,29.812,7.966,108.370
316496,-0.1367,0.5027,0.8718,0.214,0.664,-0.214,29.900,7.854,108.384
316509,-0.1389,0.5052,0.8754,0.374,0.557,0.076,30.036,7.818,108.406
