Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
316522,-0.1475,0.5047,0.8740,0.092,0.672,0.092,30.029,7.973,108.410
316535,-0.1375,0.5037,0.8776,0.267,0.595,-0.130,29.950,7.868,108.401
316548,-0.1411,0.4957,0.8681,0.496,0.656,-0.092,29.843,7.961,108.389
316561,-0.1345,0.5071,0.8742,0.122,0.466,-0.115,29.931,7.849,108.402
316574,-0.1404,0.5047,0.8818,0.267,0.710,-0.115,29.800,7.874,108.387
316587,-0.1411,0.4942,0.8766,0.221,0.466,-0.176,29.671,7.917,108.370
316600,-0.1411,0.4986,0.8835,0.092,0.122,-0.015,29.537,7.920,108.352
316613,-0.1418,0.5003,0.8808,0.069,0.511,-0.275,29.642,8.016,108.367
316626,-0.1445,0.5059,0.8793,0.435,0.328,0.046,29.775,8.063,108.387
316639,-0.1438,0.4959,0.8788,0.405,0.473,-0.015,29.646,8.087,108.371
316652,-0.1409,0.5013,0.8793,0.168,0.443,-0.137,29.684,7.948,108.377
316665,-0.1414,0.5062,0.8771,-0.031,0.771,0.008,29.819,7.956,108.401
316678,-0.1392,0.4981,0.8832,0.374,0.321,-0.130,29.698,7.916,108.384
316691,-0.1365,0.5035,0.8788,0.130,0.382,-0.015,29.761,7.785,108.395
316704,-0.1379,0.5015,0.8825,0.275,0.511,-0.023,29.637,7.752,108.381
316717,-0.1401,0.5067,0.8810,0.305,0.344,-0.092,29.767,7.803,108.399
316730,-0.1348,0.5025,0.8769,0.298,0.366,-0.153,29.804,7.663,108.404
316743,-0.1394,0.4971,0.8720,0.137,0.588,-0.130,29.742,7.804,108.398
316756,-0.1443,0.5059,0.8810,0.519,0.534,-0.122,29.807,7.942,108.408
316769,-0.1350,0.5035,0.8808,0.053,0.565,-0.092,29.786,7.804,108.407
316782,-0.1387,0.5069,0.8720,0.527,0.611,-0.221,29.927,7.821,108.427
316795,-0.1421,0.4949,0.8703,0.168,0.458,-0.069,29.821,7.919,108.414
316808,-0.1350,0.4993,0.8784,0.366,0.427,0.015,29.749,7.807,108.407
316821,-0.1433,0.5096,0.8730,0.489,0.481,0.008,29.876,7.873,108.426
316834,-0.1426,0.5035,0.8840,0.397,0.481,-0.053,29.756,7.941,108.412
316847,-0.1406,0.4966,0.8803,0.145,0.527,-0.061,29.624,7.939,108.396
316860,-0.1433,0.5045,0.8810,0.450,0.626,-0.092,29.748,8.013,108.415
316873,-0.1450,0.5042,0.8784,0.130,0.374,0.053,29.837,8.125,108.431
316886,-0.1396,0.4981,0.8796,0.397,0.580,-0.053,29.738,8.045,108.419
316899,-0.1411,0.5005,0.8813,0.130,0.519,-0.130,29.635,7.964,108.406
316912,-0.1421,0.4986,0.8776,0.305,0.511,-0.076,29.556,8.092,108.397
316925,-0.1436,0.5042,0.8801,0.099,0.679,0.145,29.693,8.080,108.422
316938,-0.1440,0.5001,0.8801,0.321,0.489,-0.115,29.564,8.116,108.405
316951,-0.1392,0.5045,0.8786,0.191,0.573,-0.191,29.670,8.022,108.421
316964,-0.1401,0.5020,0.8854,0.290,0.473,0.137,29.598,7.908,108.415
316977,-0.1409,0.5052,0.8740,0.443,0.374,-0.008,29.738,7.924,108.436
316990,-0.1460,0.5010,0.8769,0.328,0.489,0.076,29.745,8.077,108.440
317003,-0.1428,0.5001,0.8806,0.244,0.565,0.183,29.621,8.041,108.428
317016,-0.1375,0.4959,0.8727,0.076,0.641,-0.069,29.614,7.902,108.430
317029,-0.1414,0.5054,0.8757,0.366,0.420,-0.061,29.751,7.927,108.451
317042,-0.1357,0.5057,0.8715,0.328,0.481,-0.031,29.873,7.853,108.470
317055,-0.1343,0.5005,0.8774,0.351,0.771,-0.092,29.806,7.741,108.464
317068,-0.1399,0.5064,0.8774,0.183,0.573,0.023,29.922,7.821,108.483
317081,-0.1338,0.5045,0.8791,0.420,0.450,-0.145,29.893,7.686,108.480
317094,-0.1389,0.4993,0.8769,0.176,0.427,0.076,29.778,7.767,108.467
317107,-0.1360,0.5040,0.8818,0.420,0.679,0.000,29.755,7.632,108.468
317120,-0.1365,0.4984,0.8766,0.565,0.290,-0.015,29.640,7.703,108.453
317133,-0.1440,0.5035,0.8806,0.206,0.244,-0.160,29.686,7.844,108.459
317146,-0.1414,0.5020,0.8784,0.389,0.313,-0.260,29.761,7.971,108.468
317159,-0.1450,0.5015,0.8801,0.237,0.405,-0.115,29.701,8.111,108.460
317172,-0.1375,0.5047,0.8698,0.374,0.420,-0.176,29.819,8.029,108.477
317185,-0.1377,0.5015,0.8732,0.237,0.237,0.061,29.853,7.885,108.483
317198,-0.1394,0.5069,0.8806,0.267,0.435,-0.038,29.960,7.789,108.500
317211,-0.1404,0.4991,0.8749,0.092,0.466,0.008,29.839,7.863,108.486
317224,-0.1436,0.5042,0.8727,0.145,0.366,0.015,29.923,7.980,108.500
317237,-0.1433,0.5027,0.8723,0.229,0.664,-0.130,29.966,8.127,108.509
317250,-0.1355,0.5027,0.8774,0.206,0.481,0.000,29.927,7.995,108.506
317263,-0.1355,0.5062,0.8754,0.153,0.328,-0.069,29.972,7.856,108.513
317276,-0.1426,0.4988,0.8771,0.412,0.557,0.000,29.855,7.929,108.500
317289,-0.1313,0.5020,0.8823,0.122,0.519,0.206,29.805,7.800,108.498
317302,-0.1433,0.5047,0.8762,0.244,0.595,-0.076,29.874,7.933,108.510
317315,-0.1406,0.5020,0.8752,0.397,0.473,-0.115,29.745,7.946,108.494
317328,-0.1350,0.5025,0.8766,0.084,0.489,0.061,29.780,7.806,108.502
317341,-0.1362,0.4993,0.8784,0.252,0.420,0.084,29.676,7.726,108.491
317354,-0.1394,0.5035,0.8786,0.053,0.565,-0.115,29.783,7.819,108.508
317367,-0.1384,0.5054,0.8776,-0.015,0.496,-0.069,29.916,7.794,108.528
317380,-0.1401,0.5025,0.8762,0.466,0.565,-0.229,29.833,7.918,108.517
317393,-0.1355,0.5042,0.8793,0.466,0.611,0.008,29.838,7.777,108.521
317406,-0.1392,0.5064,0.8793,0.252,0.282,0.076,29.969,7.820,108.541
317419,-0.1401,0.5047,0.8635,0.420,0.435,0.107,30.097,7.881,108.562
317432,-0.1399,0.4981,0.8769,0.176,0.527,-0.076,29.965,7.892,108.546
317445,-0.1436,0.5020,0.8705,0.267,0.840,-0.183,29.972,8.050,108.550
317458,-0.1335,0.5008,0.8808,0.359,0.458,-0.053,29.901,7.938,108.542
317471,-0.1350,0.5047,0.8737,0.130,0.458,-0.061,29.953,7.803,108.551
317484,-0.1406,0.5025,0.8759,0.229,0.679,-0.053,29.860,7.920,108.541
317497,-0.1375,0.5045,0.8766,-0.008,0.702,0.053,29.906,7.786,108.553
317510,-0.1382,0.5018,0.8859,0.527,0.435,0.008,29.781,7.771,108.538
317523,-0.1399,0.4984,0.8740,0.061,0.756,-0.160,29.705,7.907,108.530
317536,-0.1416,0.5040,0.8759,0.252,0.656,-0.069,29.836,7.957,108.551
317549,-0.1440,0.4998,0.8749,-0.023,0.527,-0.023,29.765,8.093,108.545
317562,-0.1353,0.5001,0.8757,0.382,0.473,-0.137,29.758,7.952,108.545
317575,-0.1328,0.5047,0.8732,0.198,0.786,0.244,29.838,7.833,108.563
317588,-0.1404,0.5052,0.8813,0.336,0.603,0.038,29.786,7.977,108.559
317601,-0.1426,0.5062,0.8815,0.489,0.344,-0.015,29.926,7.994,108.580
317614,-0.1387,0.5027,0.8720,0.191,0.382,-0.008,29.967,7.854,108.588
317627,-0.1367,0.4947,0.8732,0.321,0.611,-0.046,29.841,7.832,108.573
317640,-0.1394,0.4981,0.8788,0.405,0.382,-0.015,29.711,7.848,108.557
317653,-0.1392,0.5008,0.8845,0.260,0.718,-0.092,29.586,7.822,108.543
317666,-0.1379,0.4974,0.8793,0.405,0.649,-0.107,29.471,7.769,108.530
317679,-0.1443,0.4959,0.8784,0.313,0.481,0.099,29.467,7.922,108.533
317692,-0.1409,0.5018,0.8759,0.099,0.611,-0.160,29.603,7.939,108.554
317705,-0.1360,0.5030,0.8771,0.489,0.427,0.015,29.702,7.831,108.569
317718,-0.1387,0.5054,0.8813,0.061,0.427,-0.115,29.831,7.780,108.588
317731,-0.1411,0.5005,0.8718,0.359,0.351,0.038,29.858,7.929,108.594
317744,-0.1428,0.4991,0.8776,0.137,0.527,0.008,29.737,8.000,108.580
317757,-0.1440,0.5062,0.8715,0.504,0.328,-0.092,29.871,8.046,108.599
317770,-0.1357,0.4996,0.8696,0.206,0.321,-0.084,29.877,7.902,108.601
317783,-0.1409,0.5052,0.8740,0.260,0.710,-0.214,30.009,7.947,108.621
317796,-0.1404,0.4996,0.8779,0.359,0.511,-0.176,29.881,7.941,108.604
317809,-0.1377,0.5020,0.8742,0.420,0.519,0.061,29.874,7.800,108.606
317822,-0.1379,0.5037,0.8867,0.336,0.496,0.198,29.753,7.760,108.594
317835,-0.1365,0.5003,0.8779,0.313,0.565,-0.176,29.656,7.675,108.582
317848,-0.1433,0.5003,0.8727,0.359,0.649,-0.137,29.713,7.817,108.592
317861,-0.1428,0.5001,0.8691,0.107,0.550,0.092,29.795,7.937,108.608
317874,-0.1387,0.4986,0.8837,0.427,0.656,-0.053,29.678,7.892,108.594
317887,-0.1372,0.4996,0.8869,0.321,0.427,-0.099,29.573,7.816,108.581
317900,-0.1443,0.5015,0.8771,0.328,0.565,0.145,29.651,7.942,108.596
317913,-0.1372,0.4986,0.8769,0.405,0.359,-0.031,29.635,7.801,108.595
317926,-0.1443,0.5052,0.8713,0.412,0.641,-0.214,29.750,7.891,108.612
317939,-0.1453,0.5052,0.8815,0.221,0.534,-0.107,29.791,8.038,108.620
317952,-0.1294,0.4991,0.8793,0.313,0.634,-0.145,29.755,7.907,108.616
317965,-0.1411,0.5089,0.8754,0.336,0.427,-0.137,29.894,7.921,108.636
317978,-0.1404,0.5081,0.8754,0.374,0.374,-0.053,30.034,7.912,108.657
317991,-0.1357,0.5069,0.8730,0.267,0.550,0.031,30.096,7.781,108.668
318004,-0.1382,0.4976,0.8771,0.321,0.489,0.076,29.966,7.791,108.654
318017,-0.1436,0.5032,0.8688,0.092,0.504,-0.176,30.012,7.935,108.662
318030,-0.1411,0.5045,0.8779,0.275,0.656,0.038,29.882,7.941,108.648
318043,-0.1370,0.5045,0.8747,0.359,0.504,0.023,29.945,7.810,108.659
318056,-0.1372,0.4971,0.8842,0.336,0.473,-0.015,29.818,7.792,108.644
318069,-0.1387,0.5115,0.8845,0.015,0.672,-0.198,29.950,7.764,108.664
318082,-0.1404,0.5040,0.8723,0.198,0.519,0.015,30.007,7.903,108.675
318095,-0.1389,0.5059,0.8713,0.252,0.450,-0.008,30.139,7.858,108.696
318108,-0.1396,0.5010,0.8688,0.374,0.756,-0.015,30.017,7.919,108.683
318121,-0.1384,0.5059,0.8720,0.305,0.458,-0.053,30.125,7.825,108.700
318134,-0.1436,0.5032,0.8764,0.397,0.443,0.023,30.028,7.932,108.689
318147,-0.1367,0.5025,0.8693,0.267,0.443,0.053,30.033,7.788,108.692
318160,-0.1392,0.5015,0.8786,0.130,0.618,-0.282,29.901,7.816,108.675
318173,-0.1384,0.5018,0.8720,0.374,0.359,-0.092,29.997,7.925,108.689
318186,-0.1372,0.5032,0.8771,0.183,0.443,-0.023,29.914,7.820,108.680
318199,-0.1401,0.5001,0.8701,0.282,0.489,0.076,29.889,7.971,108.680
318212,-0.1404,0.5035,0.8781,0.206,0.641,-0.084,29.805,7.871,108.671
318225,-0.1362,0.5023,0.8688,0.344,0.527,0.015,29.930,7.802,108.691
318238,-0.1375,0.4962,0.8840,0.321,0.481,-0.122,29.801,7.791,108.675
318251,-0.1382,0.5023,0.8766,0.573,0.496,0.000,29.938,7.744,108.695
318264,-0.1384,0.5057,0.8857,-0.008,0.450,-0.031,29.804,7.740,108.680
318277,-0.1406,0.4998,0.8757,0.565,0.573,-0.061,29.752,7.883,108.675
318290,-0.1404,0.5047,0.8725,0.267,0.275,0.092,29.889,7.906,108.696
318303,-0.1423,0.5003,0.8857,0.206,0.412,0.015,29.757,7.929,108.680
318316,-0.1313,0.5003,0.8779,0.198,0.511,-0.099,29.738,7.791,108.679
318329,-0.1360,0.5030,0.8747,0.351,0.458,-0.176,29.859,7.715,108.696
318342,-0.1377,0.4969,0.8779,0.382,0.534,0.244,29.731,7.742,108.684
318355,-0.1455,0.5005,0.8713,-0.015,0.641,0.046,29.772,7.888,108.695
318368,-0.1477,0.5059,0.8771,0.267,0.527,-0.130,29.839,8.021,108.705
318381,-0.1399,0.4996,0.8713,0.290,0.748,-0.031,29.828,7.884,108.708
318394,-0.1455,0.5045,0.8766,0.336,0.687,-0.076,29.874,8.031,108.717
318407,-0.1418,0.4930,0.8779,0.359,0.244,-0.031,29.744,8.031,108.699
318420,-0.1406,0.5005,0.8779,0.229,0.641,-0.092,29.685,7.911,108.694
318433,-0.1345,0.5015,0.8774,0.366,0.405,-0.084,29.720,7.770,108.700
318446,-0.1409,0.4988,0.8842,0.252,0.427,0.107,29.597,7.831,108.686
318459,-0.1394,0.5032,0.8732,0.336,0.511,-0.046,29.735,7.854,108.707
318472,-0.1399,0.4984,0.8708,0.328,0.611,-0.153,29.809,7.984,108.719
318485,-0.1421,0.5015,0.8859,0.191,0.573,-0.046,29.679,7.974,108.704
318498,-0.1384,0.5020,0.8745,0.489,0.595,-0.069,29.794,7.887,108.722
318511,-0.1379,0.5074,0.8745,0.122,0.618,-0.053,29.927,7.848,108.743
318524,-0.1401,0.4986,0.8708,0.275,0.611,0.038,29.818,7.942,108.732
318537,-0.1421,0.5054,0.8693,0.374,0.389,-0.107,29.952,7.984,108.751
318550,-0.1362,0.5052,0.8737,0.000,0.435,-0.206,29.993,7.847,108.758
318563,-0.1404,0.5032,0.8779,0.053,0.473,-0.191,29.862,7.893,108.740
318576,-0.1423,0.5084,0.8781,0.267,0.511,-0.053,29.989,7.954,108.760
318589,-0.1367,0.5008,0.8793,-0.008,0.473,-0.153,29.882,7.876,108.747
318602,-0.1367,0.5057,0.8757,0.099,0.458,-0.069,29.968,7.761,108.760
318615,-0.1450,0.5023,0.8698,0.282,0.244,-0.076,29.983,7.911,108.763
318628,-0.1418,0.4971,0.8801,0.260,0.603,0.046,29.853,7.938,108.749
318641,-0.1445,0.5013,0.8764,0.237,0.626,-0.084,29.801,8.083,108.744
318654,-0.1379,0.4996,0.8771,0.115,0.489,-0.206,29.743,7.960,108.737
318667,-0.1411,0.4942,0.8813,0.191,0.504,-0.145,29.612,7.964,108.720
318680,-0.1396,0.5047,0.8776,0.107,0.252,-0.015,29.743,7.918,108.739
318693,-0.1343,0.5076,0.8754,0.229,0.359,0.031,29.849,7.820,108.756
318706,-0.1377,0.5081,0.8740,0.221,0.557,0.008,29.986,7.800,108.778
318719,-0.1440,0.4986,0.8745,0.267,0.534,0.130,29.895,7.916,108.770
318732,-0.1333,0.5030,0.8774,0.160,0.519,-0.015,29.873,7.778,108.770
318745,-0.1401,0.5079,0.8749,0.344,0.527,0.092,30.002,7.835,108.791
318758,-0.1396,0.5005,0.8740,0.191,0.565,-0.107,29.873,7.881,108.775
318771,-0.1409,0.5020,0.8813,0.450,0.359,0.038,29.745,7.902,108.760
318784,-0.1355,0.5045,0.8803,0.260,0.504,0.008,29.783,7.763,108.768
318797,-0.1433,0.5035,0.8842,0.046,0.504,-0.183,29.718,7.903,108.760
318810,-0.1392,0.5042,0.8757,0.389,0.557,0.069,29.856,7.871,108.783
318823,-0.1409,0.5018,0.8774,0.153,0.519,0.092,29.742,7.958,108.771
318836,-0.1421,0.5025,0.8762,0.481,0.489,0.023,29.867,8.027,108.791
318849,-0.1345,0.5045,0.8764,0.176,0.313,-0.008,29.889,7.883,108.795
318862,-0.1477,0.4991,0.8705,0.176,0.595,0.000,29.873,8.037,108.797
318875,-0.1416,0.4930,0.8757,0.168,0.511,-0.160,29.741,8.039,108.779
318888,-0.1372,0.5045,0.8779,0.145,0.611,0.076,29.803,7.910,108.793
318901,-0.1406,0.5042,0.8720,0.191,0.725,0.069,29.939,7.939,108.816
318914,-0.1360,0.4988,0.8759,0.122,0.573,0.023,29.840,7.852,108.807
318927,-0.1460,0.5001,0.8759,0.450,0.511,0.084,29.803,8.000,108.805
318940,-0.1340,0.4940,0.8801,0.130,0.466,-0.160,29.702,7.917,108.792
318953,-0.1335,0.4976,0.8752,0.550,0.542,-0.092,29.678,7.781,108.790
318966,-0.1411,0.4959,0.8801,0.321,0.466,0.061,29.562,7.861,108.777
318979,-0.1343,0.4949,0.8764,0.092,0.641,0.015,29.510,7.735,108.774
318992,-0.1384,0.4993,0.8764,0.496,0.626,-0.046,29.638,7.802,108.794
319005,-0.1436,0.5040,0.8713,0.061,0.626,0.084,29.747,7.891,108.814
319018,-0.1428,0.5035,0.8745,0.229,0.496,-0.046,29.852,7.988,108.831
319031,-0.1392,0.4993,0.8771,0.061,0.344,0.031,29.742,7.915,108.818
319044,-0.1414,0.4969,0.8788,0.542,0.420,-0.153,29.615,7.949,108.800
319057,-0.1401,0.5054,0.8781,0.282,0.389,-0.046,29.752,7.922,108.821
319070,-0.1392,0.5013,0.8745,0.481,0.374,-0.038,29.868,7.833,108.838
319083,-0.1433,0.5059,0.8705,0.366,0.359,0.031,29.974,7.929,108.854
319096,-0.1360,0.4927,0.8771,0.435,0.542,-0.046,29.854,7.890,108.840
319109,-0.1377,0.5054,0.8696,0.221,0.435,0.160,29.989,7.854,108.863
319122,-0.1350,0.5069,0.8796,0.420,0.534,-0.008,29.977,7.715,108.864
319135,-0.1375,0.4984,0.8796,0.198,0.267,-0.130,29.845,7.727,108.846
319148,-0.1455,0.5052,0.8762,0.267,0.336,0.031,29.886,7.871,108.853
319161,-0.1414,0.5049,0.8823,0.366,0.366,-0.031,29.764,7.932,108.838
319174,-0.1409,0.4986,0.8740,0.336,0.519,-0.183,29.649,8.015,108.823
319187,-0.1433,0.5040,0.8752,0.282,0.374,-0.061,29.784,8.048,108.843
319200,-0.1355,0.5025,0.8798,0.435,0.527,-0.053,29.773,7.909,108.843
319213,-0.1372,0.5054,0.8776,0.489,0.366,-0.107,29.874,7.803,108.857
319226,-0.1406,0.4976,0.8774,0.450,0.366,0.061,29.752,7.861,108.843
319239,-0.1467,0.5042,0.8779,0.420,0.366,0.168,29.801,8.002,108.853
319252,-0.1370,0.4993,0.8747,0.649,0.504,0.115,29.767,7.869,108.852
319265,-0.1423,0.4993,0.8703,1.229,0.053,-0.107,29.834,8.005,108.858
319278,-0.1414,0.5096,0.8720,1.649,-0.260,0.092,29.990,7.990,108.876
319291,-0.1428,0.4993,0.8766,0.443,0.046,0.061,29.862,8.018,108.858
319304,-0.1382,0.4964,0.8798,0.290,0.550,0.076,29.748,7.961,108.846
319317,-0.1431,0.5054,0.8808,0.061,0.557,-0.031,29.866,8.035,108.866
319330,-0.1392,0.5005,0.8813,0.473,0.542,-0.046,29.766,7.956,108.854
319343,-0.1416,0.4981,0.8823,0.282,0.626,-0.038,29.636,7.963,108.839
319356,-0.1414,0.5003,0.8810,0.282,0.580,-0.038,29.518,7.914,108.826
319369,-0.1404,0.5037,0.8776,0.038,0.489,-0.298,29.653,7.915,108.844
319382,-0.1367,0.5047,0.8705,0.344,0.611,-0.046,29.787,7.871,108.865
319395,-0.1433,0.4996,0.8766,0.305,0.458,0.031,29.724,8.008,108.859
319408,-0.1392,0.4981,0.8766,0.351,0.458,0.000,29.642,7.904,108.850
319421,-0.1392,0.5015,0.8730,0.374,0.466,-0.038,29.782,7.890,108.871
319434,-0.1409,0.5052,0.8788,0.359,0.351,0.076,29.919,7.919,108.892
319447,-0.1372,0.5003,0.8815,0.389,0.511,-0.092,29.809,7.855,108.879
319460,-0.1440,0.5042,0.8801,0.305,0.656,0.061,29.814,8.010,108.884
319473,-0.1399,0.5025,0.8771,0.366,0.656,-0.107,29.812,7.871,108.886
319486,-0.1375,0.5027,0.8710,0.374,0.374,0.076,29.943,7.813,108.906
319499,-0.1379,0.5054,0.8730,0.221,0.275,-0.130,30.079,7.789,108.925
319512,-0.1331,0.5003,0.8786,0.214,0.527,0.008,29.972,7.718,108.913
